s,sLabel,freebaseID
http://www.wikidata.org/entity/Q10090,Hindu,/m/03kbr
http://www.wikidata.org/entity/Q43103,European Americans,/m/02vsw1
http://www.wikidata.org/entity/Q40477,Slavs,/m/0790v
http://www.wikidata.org/entity/Q109402,Aymara,/m/01g3rx
http://www.wikidata.org/entity/Q124216,Swiss,/m/025_0f0
http://www.wikidata.org/entity/Q120601,Omaha Tribe of Nebraska,/m/064b9n
http://www.wikidata.org/entity/Q141817,German Americans,/m/01qhm_
http://www.wikidata.org/entity/Q170355,Indigenous Australians,/m/0j6x8
http://www.wikidata.org/entity/Q12060728,Aboriginal Australians,/m/0j6x8
http://www.wikidata.org/entity/Q191356,Icelanders,/m/03fk0c
http://www.wikidata.org/entity/Q200569,Dutch,/m/05l3g_
http://www.wikidata.org/entity/Q216151,Vietnamese people,/m/03ndvw
http://www.wikidata.org/entity/Q207050,Buryats,/m/0ftwg
http://www.wikidata.org/entity/Q236807,Yugoslavs,/m/03q819
http://www.wikidata.org/entity/Q285828,Gibraltarian people,/m/03hf_6z
http://www.wikidata.org/entity/Q324516,Choctaw,/m/021pd
http://www.wikidata.org/entity/Q337487,Rajput,/m/031_sd
http://www.wikidata.org/entity/Q365539,Black Canadians,/m/02czfr
http://www.wikidata.org/entity/Q415693,Akan people,/m/05g0f1
http://www.wikidata.org/entity/Q418708,Telugu people,/m/09m6hr
http://www.wikidata.org/entity/Q707133,Taiwanese people,/m/0bzkm2
http://www.wikidata.org/entity/Q873625,Brazilians,/m/02r_qms
http://www.wikidata.org/entity/Q1140588,Russian Americans,/m/09kr66
http://www.wikidata.org/entity/Q1208167,Ryukyuan people,/m/0165md
http://www.wikidata.org/entity/Q1261777,Serbian Americans,/m/0268d21
http://www.wikidata.org/entity/Q1255534,Nair,/m/046cwm
http://www.wikidata.org/entity/Q1249914,Konkani people,/m/08gzsf
http://www.wikidata.org/entity/Q1344183,English Americans,/m/09vc4s
http://www.wikidata.org/entity/Q1318423,Australians,/m/0bbz66j
http://www.wikidata.org/entity/Q1378555,multiracial people,/m/01kb9y
http://www.wikidata.org/entity/Q1633149,Soviet people,/m/095mw2
http://www.wikidata.org/entity/Q1974839,Chinese Filipino,/m/04czx7
http://www.wikidata.org/entity/Q2033181,White Latin American,/m/027vy0s
http://www.wikidata.org/entity/Q3059102,Gin people,/m/027936c
http://www.wikidata.org/entity/Q3044242,demographics of Iraq,/m/03sk2
http://www.wikidata.org/entity/Q3150506,Indo-Canadians,/m/05mtdy
http://www.wikidata.org/entity/Q3310017,Pakistanis,/m/0bs7l_v
http://www.wikidata.org/entity/Q3521791,Mudaliar,/m/05vhv7
http://www.wikidata.org/entity/Q3635166,Nepali Indian,/m/04jq32s
http://www.wikidata.org/entity/Q4058325,Asian people,/m/0f0gt_
http://www.wikidata.org/entity/Q4115525,Palestinians in the United States,/m/0266mf0
http://www.wikidata.org/entity/Q4115170,British Indian,/m/03w9bjf
http://www.wikidata.org/entity/Q4256383,Indonesian Americans,/m/0d8qh0
http://www.wikidata.org/entity/Q4272184,Luxembourgish Americans,/m/0ftlzz
http://www.wikidata.org/entity/Q4450068,Thai Americans,/m/03lnnd
http://www.wikidata.org/entity/Q4823807,Australian Americans,/m/03gskx0
http://www.wikidata.org/entity/Q4858560,Barbadian American,/m/04lhnps
http://www.wikidata.org/entity/Q4887679,Bengali Hindus,/m/0fqp6zk
http://www.wikidata.org/entity/Q5334370,Ecuadorian Americans,/m/02vkw95
http://www.wikidata.org/entity/Q5602121,Greeks in the United Kingdom,/m/0b3zsn
http://www.wikidata.org/entity/Q5892930,Honduran Americans,/m/0fxmtg
http://www.wikidata.org/entity/Q7404928,Chaliyan,/m/071drf
http://www.wikidata.org/entity/Q7541523,Slovak Americans,/m/027n1m6
http://www.wikidata.org/entity/Q7994501,White British,/m/0g96wd
http://www.wikidata.org/entity/Q12060728,Aboriginal Australians,/m/03x_fq7
http://www.wikidata.org/entity/Q15055500,Lebanese Mexicans,/m/02r11hz
http://www.wikidata.org/entity/Q16242047,Criollo people,/m/0bnzjx
http://www.wikidata.org/entity/Q21999799,British Nigerian,/m/0278pqj
http://www.wikidata.org/entity/Q68518,Iroquois,/m/03x1x
http://www.wikidata.org/entity/Q1421590,Five Nations,/m/03x1x
http://www.wikidata.org/entity/Q15863,Slovenes,/m/01km_m
http://www.wikidata.org/entity/Q44806,Ukrainians,/m/012f86
http://www.wikidata.org/entity/Q42740,Han Chinese people,/m/013y54
http://www.wikidata.org/entity/Q49209,Javanese,/m/02gx2x
http://www.wikidata.org/entity/Q121842,French,/m/03ts0c
http://www.wikidata.org/entity/Q173302,Estonians,/m/01ywdy
http://www.wikidata.org/entity/Q165235,Bosnians,/m/0470lk
http://www.wikidata.org/entity/Q170352,Transylvanian Saxons,/m/04hqxn
http://www.wikidata.org/entity/Q190168,Yoruba people,/m/0301y_
http://www.wikidata.org/entity/Q200513,Sherpa,/m/01gr8h
http://www.wikidata.org/entity/Q212106,Dinka people,/m/039z49
http://www.wikidata.org/entity/Q255872,Ojibwe,/m/01g0y_
http://www.wikidata.org/entity/Q377085,Assyrian people,/m/01nft3
http://www.wikidata.org/entity/Q383946,Lao people,/m/01c034
http://www.wikidata.org/entity/Q388101,Anglo-Celtic Australians,/m/01swvz
http://www.wikidata.org/entity/Q648255,Kabyle people,/m/0bvnws
http://www.wikidata.org/entity/Q678551,American Jews,/m/048z7l
http://www.wikidata.org/entity/Q752526,Galicians,/m/0br_8h
http://www.wikidata.org/entity/Q854323,Punjabis,/m/02sch9
http://www.wikidata.org/entity/Q842438,British,/m/0d7wh
http://www.wikidata.org/entity/Q1075293,Irish Americans,/m/033tf_
http://www.wikidata.org/entity/Q1211934,Hispanic,/m/0fk1z
http://www.wikidata.org/entity/Q1262389,Serbs in North Macedonia,/m/025x6k1
http://www.wikidata.org/entity/Q1283606,Native Hawaiians,/m/032j30
http://www.wikidata.org/entity/Q1417088,Iñupiaq people,/m/01f9bg
http://www.wikidata.org/entity/Q1421205,Lithuanian Jews,/m/03ty8_
http://www.wikidata.org/entity/Q1645980,Jaat,/m/0222hg
http://www.wikidata.org/entity/Q1780828,Romanichal,/m/09cqth
http://www.wikidata.org/entity/Q2195308,Chinese Jamaicans,/m/0d32d1
http://www.wikidata.org/entity/Q2408653,Thai Chinese,/m/04l_pt
http://www.wikidata.org/entity/Q2464565,Turkish Americans,/m/0ffhvl
http://www.wikidata.org/entity/Q2589229,Dutch Canadians,/m/067lv3
http://www.wikidata.org/entity/Q2657969,Vietnamese Americans,/m/01tyl3
http://www.wikidata.org/entity/Q2975309,Bhutia,/m/052r3t
http://www.wikidata.org/entity/Q3003133,Croatian Americans,/m/0ffjqy
http://www.wikidata.org/entity/Q3352263,Bengali Brahmins,/m/08yg47
http://www.wikidata.org/entity/Q3349057,Pacific Islander Americans,/m/0dv5vw
http://www.wikidata.org/entity/Q3804346,Italians in the United Kingdom,/m/0gf5k1
http://www.wikidata.org/entity/Q3916714,Romanian Americans,/m/03f3sf
http://www.wikidata.org/entity/Q4302645,Swedish Australian,/m/03b_13l
http://www.wikidata.org/entity/Q4386404,Louisiana Creole people,/m/0bms44
http://www.wikidata.org/entity/Q4356656,Latvian American,/m/0ffk5n
http://www.wikidata.org/entity/Q4400590,Russian Canadians,/m/0g4pffv
http://www.wikidata.org/entity/Q4445351,Sudanese Arabs,/m/03x_lpj
http://www.wikidata.org/entity/Q4690200,Afro Trinidadians and Tobagonians,/m/04608z
http://www.wikidata.org/entity/Q4689218,Afghans in India,/m/0dllcfn
http://www.wikidata.org/entity/Q4825530,Austrians in the United Kingdom,/m/04lgl9t
http://www.wikidata.org/entity/Q4969441,British Americans,/m/03vv99
http://www.wikidata.org/entity/Q4996189,Bulgarian Canadians,/m/051wcch
http://www.wikidata.org/entity/Q5501711,French Chilean,/m/04dzwby
http://www.wikidata.org/entity/Q7129967,Panamanian Americans,/m/03gy1h2
http://www.wikidata.org/entity/Q7125803,Pakistani Americans,/m/0647lm
